"name","champion","runner_up","top_4","top_6","relegate"
"Leicester City",0,0,0.02,0.05,0.74
"Tottenham",0.03,0.01,0.09,0.15,0.44
"Brighton & Hove",0.05,0.02,0.23,0.36,0.23
"Burnley",0,0.01,0.04,0.07,0.72
"Fulham",0.01,0.01,0.04,0.05,0.72
"Southampton",0,0.02,0.06,0.12,0.52
"Manchester Utd",0.01,0.06,0.17,0.24,0.36
"Crystal Palace",0,0,0,0,0.91
"Liverpool",0,0.02,0.04,0.11,0.52
"Watford",0.03,0.05,0.11,0.17,0.45
"Manchester City",0.05,0.03,0.31,0.4,0.13
"Bournemouth",0,0.01,0.03,0.06,0.68
"Huddersfield",0,0,0,0,0.87
"West Ham Utd",0.01,0,0.02,0.05,0.76
"Wolverhampton",0,0.01,0.04,0.11,0.52
"Newcastle Utd",0,0,0.02,0.02,0.84
"Everton",0,0.01,0.01,0.01,0.7
"Arsenal",0.02,0.03,0.15,0.23,0.35
"Cardiff City",0,0.01,0.04,0.06,0.61
"Chelsea",0.02,0.02,0.11,0.18,0.49
"FC Nurnberg",0.01,0,0.02,0.09,0.63
"Hannover 96",0,0.01,0.03,0.11,0.54
"RB Leipzig",0.01,0.03,0.08,0.15,0.44
"Stuttgart",0,0,0.01,0.02,0.87
"Werder Bremen",0,0,0.01,0.01,0.89
"Dortmund",0.14,0.14,0.47,0.62,0.09
"Hoffenheim",0,0,0.03,0.06,0.66
"Dusseldorf",0,0,0.01,0.04,0.76
"Frankfurt",0.01,0.01,0.04,0.07,0.67
"Bayern Munich",0.38,0.17,0.75,0.87,0.01
"FC Augsburg",0,0.02,0.03,0.07,0.65
"FSV Mainz",0,0,0.04,0.14,0.62
"Leverkusen",0.09,0.15,0.39,0.45,0.19
"Moenchengladb.",0.03,0.03,0.11,0.22,0.37
"Schalke 04",0.07,0.1,0.32,0.43,0.16
"Freiburg",0,0.01,0.02,0.03,0.64
"Hertha Berlin",0.02,0,0.06,0.09,0.56
"Wolfsburg",0.01,0.01,0.05,0.09,0.69
